policy,budget_pct,budget_n,mean_error,ci_low,ci_high,improvement_vs_scouts_only
scouts_only,0,0,0.31999999999999995,0.31999999999999995,0.31999999999999995,0.0
random,0,0,0.31999999999999995,0.31999999999999995,0.31999999999999995,0.0
disagreement_aware,0,0,0.31999999999999995,0.31999999999999995,0.31999999999999995,0.0
scouts_only,10,10,0.31999999999999995,0.31999999999999995,0.31999999999999995,0.0
random,10,10,0.33846,0.30000000000000004,0.37,-1.85
disagreement_aware,10,10,0.31606,0.30000000000000004,0.3352499999999997,0.39
scouts_only,20,20,0.31999999999999995,0.31999999999999995,0.31999999999999995,0.0
random,20,20,0.35978,0.31000000000000005,0.41000000000000003,-3.98
disagreement_aware,20,20,0.33874,0.30000000000000004,0.37524999999999975,-1.87
scouts_only,30,30,0.31999999999999995,0.31999999999999995,0.31999999999999995,0.0
random,30,30,0.37908,0.32999999999999996,0.43524999999999975,-5.91
disagreement_aware,30,30,0.36179999999999995,0.31475000000000003,0.41000000000000003,-4.18
scouts_only,40,40,0.31999999999999995,0.31999999999999995,0.31999999999999995,0.0
random,40,40,0.399,0.33999999999999997,0.45999999999999996,-7.9
disagreement_aware,40,40,0.38495999999999997,0.32999999999999996,0.43000000000000005,-6.5
