policy,budget_pct,budget_n,mean_error,ci_low,ci_high,improvement_vs_scouts_only
scouts_only,0,0,0.31999999999999995,0.31999999999999995,0.31999999999999995,0.0
random,0,0,0.31999999999999995,0.31999999999999995,0.31999999999999995,0.0
disagreement_aware,0,0,0.31999999999999995,0.31999999999999995,0.31999999999999995,0.0
scouts_only,10,10,0.31999999999999995,0.31999999999999995,0.31999999999999995,0.0
random,10,10,0.33846,0.30000000000000004,0.37,-1.85
disagreement_aware,10,10,0.31999999999999995,0.31999999999999995,0.31999999999999995,0.0
scouts_only,20,20,0.31999999999999995,0.31999999999999995,0.31999999999999995,0.0
random,20,20,0.36054,0.31000000000000005,0.4052499999999998,-4.05
disagreement_aware,20,20,0.42,0.42000000000000004,0.42000000000000004,-10.0
scouts_only,30,30,0.31999999999999995,0.31999999999999995,0.31999999999999995,0.0
random,30,30,0.3793,0.32999999999999996,0.43000000000000005,-5.93
disagreement_aware,30,30,0.39202,0.39,0.4,-7.2
scouts_only,40,40,0.31999999999999995,0.31999999999999995,0.31999999999999995,0.0
random,40,40,0.4006,0.33999999999999997,0.45999999999999996,-8.06
disagreement_aware,40,40,0.40938,0.38,0.43999999999999995,-8.94
